,Name,Type,Address,Zip Code
13786,"(""McDonald's"",)",hotdogs,3067MannheimRd,60018
13787,"('Panera Bread',)",sandwiches,9400NMilwaukeeAvenue,60714
13788,"('Benchmark Restaurant',)",tradamerican,6100NRiverRd,60018
13789,"(""McDonald's"",)",hotdogs,9815NMilwaukeeAve,60016
13790,"('Burger King',)",hotdogs,7133WDempster,60714
13791,"('Chipotle Mexican Grill',)",mexican,8488WGolfRd,60714
13792,"('Chickenow',)",burgers,5220FashionOutletWay,60018
13793,"('Potbelly Sandwich Shop',)",sandwiches,1506MarketSt,60016
13794,"('Plateia Mediterranean Kitchen Bar',)",bars,9860NMilwaukeeAve,60016
13795,"('Taco Maya Rosemont',)",mexican,7084MannheimRd,60018
13796,"('Lucky Grill',)",tradamerican,7779WTalcottAve,60631
13797,"('Chicken Now',)",hotdogs,5220FashionOutletsWay,60018
13798,"('Mexcal Mexican Grill',)",mexican,58NWolfRd,60090
13799,"(""Jimmy John's"",)",sandwiches,1204SMilwaukeeAve,60090
13800,"('MOD Pizza',)",pizza,1021NElmhurstRd,60056
13801,"('Panda Express',)",chinese,1200EastCentralRoad,60056
13802,"('China Kitchen',)",chinese,1402EHintzRd,60004
13803,"('Taco Bell',)",mexican,50WDundeeRoad,60089
13804,"(""Jimmy John's"",)",sandwiches,1220ECentralRd,60056
13805,"('Chipotle Mexican Grill',)",mexican,102EKensingtonRd,60056
13806,"('Burger King',)",burgers,425WDundeeRd,60090
13807,"('Illusion Bar Grill Cafe',)",pubs,659NWolfRd,60016
13808,"('Tropical Smoothie Cafe',)",juicebars,918NElmhurstRd,60056
13809,"(""Jimmy John's"",)",sandwiches,250EDundeeRd,60090
13810,"('Rise N Dine Pancake Cafe',)",tradamerican,102SMilwaukeeAve,60090
13811,"(""Grande Jake's Fresh Mexican Grill"",)",mexican,799SBuffaloGroveRd,60089
13812,"('Fresh Farms International Market',)",bakeries,20SMilwaukeeAve,60090
13813,"('Dairy Queen',)",icecream,1293NRandRd,60004
13814,"('Hot Breads',)",indpak,1201DNElmhurstRd,60070
13815,"('Tap House Grill',)",tradamerican,1090SMilwaukeeAve,60090
13816,"(""Penguino's Pizza"",)",pizza,141WDundeeRd,60089
13817,"('Burger King',)",burgers,1205ECentralRd,60056
13818,"(""The Original Granny's"",)",breakfast_brunch,831WDundeeRd,60090
13819,"('Mi Restaurant',)",mexican,1742EKensingtonRd,60056
13820,"(""Katie's Kitchen"",)",breakfast_brunch,623NWolfRd,60016
13821,"('Eggsperience Cafè',)",breakfast_brunch,176ERandhurstVillageDr,60056
13822,"(""Domino's Pizza"",)",pizza,12WDundeeRd,60090
13823,"('Le Peep Breakfast & Lunch',)",breakfast_brunch,10ENorthwestHwy,60056
13824,"('La Presa Restaurant',)",mexican,86WDundeeRd,60089
13825,"('Continental Restaurant',)",tradamerican,788SBuffaloGroveRd,60089
13826,"(""Sarpino's Pizzeria"",)",pizza,577EDundeeRd,60074
13827,"('Los Arcos',)",mexican,1639NBaldwinRd,60074
13828,"(""Emmett's Brewing Co"",)",bars,110NBrockwaySt,60067
13829,"(""Smakowski's Deli"",)",grocery,1538NRandRd,60074
13830,"(""Wendy's"",)",burgers,1207WNorthwestHighway,60067
13831,"(""Jimmy John's"",)",sandwiches,774EuclidAve,60067
13832,"('Burger King',)",hotdogs,75WNorthwestHwy,60067
13833,"(""McDonald's"",)",hotdogs,1570ENorthwestHwy,60074
13834,"('Chipotle Mexican Grill',)",hotdogs,20505RandRd,60047
13835,"('Bakers Square',)",tradamerican,270ENorthwestHwy,60067
13836,"('Little Caesars Pizza',)",pizza,740EDundeeRd,60074
13837,"('Panera Bread',)",sandwiches,1603NRandRoad,60074
